name,link
COMING SOON - Holistika,https://weedmaps.com/dispensaries/holistika
The Magg Dispensary,https://weedmaps.com/dispensaries/magnolia-dispensary
Mississippi Magnolia Canna,https://weedmaps.com/dispensaries/mississippi-magnolia-canna
Green Magnolia - Columbus,https://weedmaps.com/dispensaries/green-magnolia-columbus
COMING SOON - Wildflower Medical Dispensary,https://weedmaps.com/dispensaries/wildflower-medical-dispensary
SOAR - Meridian Coming Soon!,https://weedmaps.com/dispensaries/soar-meridian
Green Magnolia - Meridian,https://weedmaps.com/dispensaries/green-magnolia-dispensaries
Legally Rooted Cannabis Dispensary LLC,https://weedmaps.com/dispensaries/legally-rooted-cannabis-dispensary-llc
Three Foot Wellness - NOW OPEN!,https://weedmaps.com/dispensaries/3ft-wellness
Youngs Farm Medical Dispensary,https://weedmaps.com/dispensaries/youngs-farm-medical-dispensary
COMING SOON - Canna Midori Wellness Dispensary,https://weedmaps.com/dispensaries/canna-midori-wellness-dispensary
COMING SOON - The Green Standard Starkville,https://weedmaps.com/dispensaries/the-green-standard-starkville
SOAR - Starkville Coming Soon!,https://weedmaps.com/dispensaries/soar-starkville
GreenWise Cannabis Company - Starkville,https://weedmaps.com/dispensaries/greenwise-cannabis-company-starkville
The Green Guys of Fulton,https://weedmaps.com/dispensaries/the-green-guys-of-fulton
Bragg Canna - Tupelo - COMING SOON!,https://weedmaps.com/dispensaries/bragg-canna-tupelo
GreenWise Cannabis Company - Tupelo,https://weedmaps.com/dispensaries/coming-soon-greenwise-cannabis-company-tupelo
Cannabis Headquarter,https://weedmaps.com/dispensaries/cannabis-headquarter
High Hopes - NOW OPEN!,https://weedmaps.com/dispensaries/high-hopes-3
Good Day Farm - Tupelo,https://weedmaps.com/dispensaries/good-day-farm-tupelo
The Dispensary by REV - Tupelo,https://weedmaps.com/dispensaries/the-dispensary-by-rev
BlueGreen Dispensary,https://weedmaps.com/dispensaries/bluegreen-cannabis
Green Magnolia - Tupelo,https://weedmaps.com/dispensaries/green-magnolia-tupelo
The Green Guys,https://weedmaps.com/dispensaries/the-green-guys-5
Good Day Farm - Laurel,https://weedmaps.com/dispensaries/good-day-farm-laurel
Toke and Tell Medical Dispensary - Laurel,https://weedmaps.com/dispensaries/toke-and-tell-2-medical-dispensary
Dabbs Cannabis Dispensary - Forest,https://weedmaps.com/dispensaries/dabbs-cannabis-dispensary-1
Trulieve - Pensacola Ferry Pass,https://weedmaps.com/dispensaries/trulieve-pensacola-nine-mile
Green Dragon - Pensacola,https://weedmaps.com/dispensaries/green-dragon-pensacola
Sunnyside Medical Cannabis Dispensary Pensacola - Nine Mile Road,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-pensacola-nine-mile-road
One Hit Wonder,https://weedmaps.com/dispensaries/one-hit-wonder
Rebel Roots - Goldstream,https://weedmaps.com/dispensaries/rebel-roots
Airport Way - Pipe & Leaf,https://weedmaps.com/dispensaries/pipe-and-leaf
